Referencia;Categoria;Endereco;Endereco Numero;Endereco Complemento;Dormitorio;Valor venda;Valor Aluguel;Bairro Comercial;Empreendimento;Valor M2 Aluguel;Valor M2 venda;Valor total aluguel;Data cadastro;Data atualizacao;Equipes do Imovel;Corretores do Imovel;Nome;Publicar Viva Real VRSync;Publicar Viva Real VRSync 2;Status;Area Privativa;Tem Placa;Vagas;Suite;Ano de Construção;Lançamento
Moderno e funcional;Ponto Comercial;Rua Augusta;205.0;Rua Bela Cintra;2.0;0.0;4200.0;Pinheiros;Excelente oportunidade;100.0;0.0;5600.0;01/01/2005;31/01/2005;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;Imóvel bem localizado;Imóvel bem localizado;Moderno e funcional;65.0;Imóvel bem localizado;1.0;;2010;Excelente oportunidade
Totalmente reformado;Casa;Av. Paulista;997.0;;4.0;391800.0;0.0;Moema;;0.0;52.325.581.395.349;;03/01/2005;02/02/2005;;Espaçoso e iluminado;Excelente oportunidade;Espaçoso e iluminado;Espaçoso e iluminado;Espaçoso e iluminado;97.0;Excelente oportunidade;;;0;Excelente oportunidade
Imóvel bem localizado;Ponto Comercial;Av. Paulista;824.0;Rua Oscar Freire;2.0;0.0;6000.0;Moema;Imóvel bem localizado;100.0;0.0;7600.0;06/01/2005;05/02/2005;Imóvel bem localizado;Totalmente reformado;Totalmente reformado;Totalmente reformado;Excelente oportunidade;Espaçoso e iluminado;64.0;Espaçoso e iluminado;;1.0;0;Moderno e funcional
Moderno e funcional;Studio;Av. Paulista;1090.0;Rua Augusta;0.0;0.0;2300.0;Santa Cecília;;100.0;0.0;2300.0;09/01/2005;08/02/2005;;Totalmente reformado;Moderno e funcional;Imóvel bem localizado;Excelente oportunidade;Imóvel bem localizado;46.0;Totalmente reformado;0.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Studio;Rua Bela Cintra;287.0;Rua Augusta;0.0;0.0;1500.0;Santa Cecília;Totalmente reformado;0.0;0.0;1600.0;12/01/2005;11/02/2005;;Excelente oportunidade;Espaçoso e iluminado;Imóvel bem localizado;Totalmente reformado;Excelente oportunidade;59.0;Imóvel bem localizado;0.0;0.0;0;Moderno e funcional
Moderno e funcional;Studio;Av. Angélica;560.0;Av. Angélica;0.0;319500.0;0.0;Moema;Totalmente reformado;0.0;11.538.461.538.462;0.0;15/01/2005;14/02/2005;;Moderno e funcional;Imóvel bem localizado;Espaçoso e iluminado;Moderno e funcional;Imóvel bem localizado;300.0;Espaçoso e iluminado;0.0;0.0;0;Espaçoso e iluminado
Espaçoso e iluminado;Casa;Rua Bela Cintra;8760.0;Av. Ipiranga;3.0;319600.0;0.0;Tatuapé;Excelente oportunidade;0.0;50.909.090.909.091;400.0;18/01/2005;17/02/2005;;Moderno e funcional;Totalmente reformado;Excelente oportunidade;Excelente oportunidade;Moderno e funcional;56.0;Espaçoso e iluminado;1.0;0.0;0;Totalmente reformado
Imóvel bem localizado;Studio;Av. Ipiranga;790.0;Av. Angélica;0.0;0.0;7400.0;Santa Cecília;;0.0;0.0;9500.0;21/01/2005;20/02/2005;;Imóvel bem localizado;Espaçoso e iluminado;Espaçoso e iluminado;Excelente oportunidade;Excelente oportunidade;384.0;Moderno e funcional;6.0;0.0;0;Excelente oportunidade
Imóvel bem localizado;Cobertura;Av. Angélica;2746.0;Rua Bela Cintra;0.0;0.0;10600.0;Moema;;21.590.909.090.909;0.0;8300.0;24/01/2005;23/02/2005;;Excelente oportunidade;Excelente oportunidade;Espaçoso e iluminado;Totalmente reformado;Espaçoso e iluminado;410.0;Moderno e funcional;11.0;3.0;0;Moderno e funcional
Excelente oportunidade;Cobertura;Av. Ipiranga;194.0;Av. Paulista;0.0;937700.0;0.0;Higienópolis;;0.0;32.738.095.238.095;0.0;27/01/2005;26/02/2005;;Moderno e funcional;Imóvel bem localizado;Moderno e funcional;Excelente oportunidade;Totalmente reformado;329.0;Excelente oportunidade;0.0;0.0;0;Excelente oportunidade
